PSolar_MW
0
0
0
0
0
0
1776.3
8256.4
14094.9
16167.5
16903.9
17606.2
17930.1
18398.3
18155.9
17813.2
17356.1
15598.4
11960.4
5937.2
853.0
0
0
0
