PWind_MW
4533.3
4039.9
3688.1
3486.3
3048.5
2727.4
2341.7
1883.0
1896.6
2140.3
2491.7
2509.3
2597.2
2792.3
2882.6
3095.5
3158.6
3547.3
3551.7
3347.2
2874.9
2834.6
2847.8
2914.8
