hour,tech,Ng_on,Nst_cmd,Nsg_start,Nsd_stop,Pg_MW,PD_MW,PRES_avail_MW,Pcurt_MW,Ddef_MW,Dspill_MW,cost_tech_EUR,cost_hour_total_EUR
1,CC,0,6,0,0,0.0,23927.0,4533.3,0.0,12393.7,0.0,0.0,1.2421529616e8
1,Nuclear,2,2,2,0,7000.0,23927.0,4533.3,0.0,12393.7,0.0,278296.16000000003,1.2421529616e8
1,CR,0,4,0,0,0.0,23927.0,4533.3,0.0,12393.7,0.0,0.0,1.2421529616e8
1,Biomasa,0,3,0,0,0.0,23927.0,4533.3,0.0,12393.7,0.0,0.0,1.2421529616e8
2,CC,0,0,0,0,0.0,22632.0,4039.9,0.0,11592.1,0.0,0.0,1.1607929616e8
2,Nuclear,2,0,0,0,7000.0,22632.0,4039.9,0.0,11592.1,0.0,158296.16,1.1607929616e8
2,CR,0,0,0,0,0.0,22632.0,4039.9,0.0,11592.1,0.0,0.0,1.1607929616e8
2,Biomasa,0,0,0,0,0.0,22632.0,4039.9,0.0,11592.1,0.0,0.0,1.1607929616e8
3,CC,0,0,0,0,0.0,21843.0,3688.1,0.0,7794.910000000002,0.0,0.0,7.821445564850001e7
3,Nuclear,2,0,0,0,7000.0,21843.0,3688.1,0.0,7794.910000000002,0.0,158296.16,7.821445564850001e7
3,CR,4,0,4,0,548.0,21843.0,3688.1,0.0,7794.910000000002,0.0,32816.36,7.821445564850001e7
3,Biomasa,3,0,3,0,2811.9900000000002,21843.0,3688.1,0.0,7794.910000000002,0.0,74243.1285,7.821445564850001e7
4,CC,6,0,6,0,4555.2,21689.0,3486.3,0.0,0.0,0.0,237272.124,579276.8217999999
4,Nuclear,2,0,0,0,7000.0,21689.0,3486.3,0.0,0.0,0.0,158296.16,579276.8217999999
4,CR,4,0,0,0,835.5099999999984,21689.0,3486.3,0.0,0.0,0.0,37015.409299999934,579276.8217999999
4,Biomasa,3,0,0,0,5811.990000000001,21689.0,3486.3,0.0,0.0,0.0,146693.1285,579276.8217999999
