hour,tech,Ng_on,Nst_cmd,Nsg_start,Nsd_stop,Pg_MW,PD_MW,PRES_avail_MW,Pcurt_MW,Ddef_MW,Dspill_MW,cost_tech_EUR,cost_hour_total_EUR
1,CC,5,5,5,0,9489.999999999996,23927.0,4533.3,0.0,0.0,0.0,393002.84999999986,634966.4785999999
1,Nuclear,2,2,2,0,7000.0,23927.0,4533.3,0.0,0.0,0.0,158296.16,634966.4785999999
1,CR,2,2,2,0,560.3700000000008,23927.0,4533.3,0.0,0.0,0.0,24558.859100000034,634966.4785999999
1,Biomasa,1,1,1,0,2343.33,23927.0,4533.3,0.0,0.0,0.0,59108.6095,634966.4785999999
2,CC,5,0,0,0,8826.240000000002,22632.0,4039.9,0.0,0.0,0.0,365576.28680000006,601691.3642
2,Nuclear,2,0,0,0,7000.0,22632.0,4039.9,0.0,0.0,0.0,158296.16,601691.3642
2,CR,2,0,0,0,422.529999999997,22632.0,4039.9,0.0,0.0,0.0,18710.307899999872,601691.3642
2,Biomasa,1,1,0,0,2343.33,22632.0,4039.9,0.0,0.0,0.0,59108.6095,601691.3642
3,CC,5,0,0,0,6326.240000000002,21843.0,3688.1,0.0,0.0,0.0,262276.28680000006,558395.1258
3,Nuclear,2,0,0,0,7000.0,21843.0,3688.1,0.0,0.0,0.0,158296.16,558395.1258
3,CR,4,0,2,0,548.0,21843.0,3688.1,0.0,0.0,0.0,28816.36,558395.1258
3,Biomasa,2,0,1,0,4280.66,21843.0,3688.1,0.0,0.0,0.0,109006.31899999999,558395.1258
4,CC,10,0,5,0,7592.0,21689.0,3486.3,0.0,0.0,0.0,355453.54,612341.465
4,Nuclear,2,0,0,0,6800.0,21689.0,3486.3,0.0,0.0,0.0,154010.16,612341.465
4,CR,2,0,0,2,274.0,21689.0,3486.3,0.0,0.0,0.0,12408.18,612341.465
4,Biomasa,3,0,1,0,3536.7,21689.0,3486.3,0.0,0.0,0.0,90469.58499999999,612341.465
5,CC,6,0,0,4,4834.8,21694.0,3048.5,0.0,0.0,0.0,200825.19600000003,536449.121
5,Nuclear,2,0,0,0,7000.0,21694.0,3048.5,0.0,0.0,0.0,158296.16,536449.121
5,CR,2,0,0,0,274.0,21694.0,3048.5,0.0,0.0,0.0,12408.18,536449.121
5,Biomasa,3,0,0,0,6536.7,21694.0,3048.5,0.0,0.0,0.0,164919.58499999996,536449.121
6,CC,6,0,0,0,5574.609999999999,22606.0,2727.4,0.0,0.0,0.0,231394.14519999997,579424.3136999999
6,Nuclear,2,0,0,0,7000.0,22606.0,2727.4,0.0,0.0,0.0,158296.16,579424.3136999999
6,CR,2,0,0,0,274.0,22606.0,2727.4,0.0,0.0,0.0,12408.18,579424.3136999999
6,Biomasa,3,0,0,0,7029.99,22606.0,2727.4,0.0,0.0,0.0,177325.82849999997,579424.3136999999
7,CC,6,0,0,0,6055.2,24608.0,4118.0,0.0,0.0,0.0,251252.124,604832.5608
7,Nuclear,2,0,0,0,7000.0,24608.0,4118.0,0.0,0.0,0.0,158296.16,604832.5608
7,CR,2,0,0,0,404.81,24608.0,4118.0,0.0,0.0,0.0,17958.4483,604832.5608
7,Biomasa,3,0,0,0,7029.99,24608.0,4118.0,0.0,0.0,0.0,177325.82849999997,604832.5608
8,CC,3,0,0,3,2277.6,26522.0,10139.4,0.0,0.0,0.0,94636.062,437661.632
8,Nuclear,2,0,0,0,7000.0,26522.0,10139.4,0.0,0.0,0.0,158296.16,437661.632
8,CR,2,0,0,0,274.0,26522.0,10139.4,0.0,0.0,0.0,12408.18,437661.632
8,Biomasa,3,0,0,0,6831.0,26522.0,10139.4,0.0,0.0,0.0,172321.22999999998,437661.632
9,CC,0,0,0,3,0.0,27258.0,15991.5,0.0,0.0,0.0,0.0,266120.21505802864
9,Nuclear,2,0,0,0,7000.0,27258.0,15991.5,0.0,0.0,0.0,158296.16,266120.21505802864
9,CR,0,0,0,2,2.0837119265593174e-6,27258.0,15991.5,0.0,0.0,0.0,8.841189704391184e-5,266120.21505802864
9,Biomasa,3,0,0,0,4266.499997916288,27258.0,15991.5,0.0,0.0,0.0,107824.05494759463,266120.21505802864
10,CC,0,0,0,0,-0.0,27442.0,18307.8,0.0,0.0,0.0,0.0,212319.00999559383
10,Nuclear,2,0,0,0,7000.00000208371,27442.0,18307.8,0.0,0.0,0.0,158296.1600446539,212319.00999559383
10,CR,0,0,0,0,7.715365806878702e-6,27442.0,18307.8,0.0,0.0,0.0,0.0003273629711858633,212319.00999559383
10,Biomasa,2,0,0,1,2134.199990200926,27442.0,18307.8,0.0,0.0,0.0,54022.84975355329,212319.00999559383
11,CC,0,0,0,0,0.0,27321.0,19395.600000000002,0.0,0.0,0.0,0.0,182353.27760873927
11,Nuclear,2,0,0,0,6836.170003572736,27321.0,19395.600000000002,0.0,0.0,0.0,154785.28317656374,182353.27760873927
11,CR,0,0,0,0,0.0,27321.0,19395.600000000002,0.0,0.0,0.0,0.0,182353.27760873927
11,Biomasa,1,0,0,1,1089.2299964272615,27321.0,19395.600000000002,0.0,0.0,0.0,27567.994410145628,182353.27760873927
12,CC,0,0,0,0,0.0,27689.0,20115.5,0.0,0.0,0.0,0.0,174246.99270433816
12,Nuclear,2,0,0,0,6636.170003572736,27689.0,20115.5,0.0,0.0,0.0,150499.28317656374,174246.99270433816
12,CR,0,0,0,0,5.6316538736340885e-6,27689.0,20115.5,0.0,0.0,0.0,0.00023895107385829437,174246.99270433816
12,Biomasa,1,0,0,0,937.3299907956093,27689.0,20115.5,0.0,0.0,0.0,23747.709268509574,174246.99270433816
13,CC,0,0,0,0,0.0,27303.0,20527.3,0.0,0.0,0.0,0.0,153489.41125854957
13,Nuclear,2,0,0,0,6775.699988736693,27303.0,20527.3,0.0,0.0,0.0,153489.41075862732,153489.41125854957
13,CR,0,0,0,0,1.1263307747268177e-5,27303.0,20527.3,0.0,0.0,0.0,0.00047790214771658874,153489.41125854957
13,Biomasa,0,0,0,1,0.0,27303.0,20527.3,0.0,0.0,0.0,0.0,153489.41125854957
14,CC,0,0,0,0,0.0,27466.0,21190.6,300.2999887366914,0.0,0.0,0.0,149203.41075862732
14,Nuclear,2,0,0,0,6575.699988736693,27466.0,21190.6,300.2999887366914,0.0,0.0,149203.41075862732,149203.41075862732
14,CR,0,0,0,0,0.0,27466.0,21190.6,300.2999887366914,0.0,0.0,0.0,149203.41075862732
14,Biomasa,0,0,0,0,0.0,27466.0,21190.6,300.2999887366914,0.0,0.0,0.0,149203.41075862732
15,CC,0,0,0,0,0.0,26945.0,21038.5,469.19998873669283,0.0,0.0,0.0,144917.41075862732
15,Nuclear,2,0,0,0,6375.699988736693,26945.0,21038.5,469.19998873669283,0.0,0.0,144917.41075862732,144917.41075862732
15,CR,0,0,0,0,0.0,26945.0,21038.5,469.19998873669283,0.0,0.0,0.0,144917.41075862732
15,Biomasa,0,0,0,0,0.0,26945.0,21038.5,469.19998873669283,0.0,0.0,0.0,144917.41075862732
16,CC,0,1,0,0,0.0,26119.0,20908.7,1089.7,0.0,0.0,0.0,143295.16
16,Nuclear,2,0,0,0,6300.0,26119.0,20908.7,1089.7,0.0,0.0,143295.16,143295.16
16,CR,0,0,0,0,0.0,26119.0,20908.7,1089.7,0.0,0.0,0.0,143295.16
16,Biomasa,0,2,0,0,0.0,26119.0,20908.7,1089.7,0.0,0.0,0.0,143295.16
17,CC,0,6,0,0,0.0,26250.0,20514.699999999997,564.7,0.0,0.0,0.0,143295.16
17,Nuclear,2,0,0,0,6300.0,26250.0,20514.699999999997,564.7,0.0,0.0,143295.16,143295.16
17,CR,0,0,0,0,0.0,26250.0,20514.699999999997,564.7,0.0,0.0,0.0,143295.16
17,Biomasa,0,1,0,0,0.0,26250.0,20514.699999999997,564.7,0.0,0.0,0.0,143295.16
18,CC,0,2,0,0,-0.0,27082.0,19145.7,355.0700000000015,0.0,0.0,0.0,195291.67430000004
18,Nuclear,2,0,0,0,6416.7099999999955,27082.0,19145.7,355.0700000000015,0.0,0.0,145796.2552999999,195291.67430000004
18,CR,0,0,0,0,0.0,27082.0,19145.7,355.0700000000015,0.0,0.0,0.0,195291.67430000004
18,Biomasa,2,0,2,0,1874.6600000000055,27082.0,19145.7,355.0700000000015,0.0,0.0,49495.41900000014,195291.67430000004
19,CC,1,0,1,0,759.2,27700.0,15512.099999999999,0.0,0.0,0.0,39545.35400000001,312170.7378
19,Nuclear,2,0,0,0,6616.7099999999955,27700.0,15512.099999999999,0.0,0.0,0.0,150082.2552999999,312170.7378
19,CR,0,0,0,0,0.0,27700.0,15512.099999999999,0.0,0.0,0.0,0.0,312170.7378
19,Biomasa,3,0,1,0,4811.990000000005,27700.0,15512.099999999999,0.0,0.0,0.0,122543.12850000012,312170.7378
20,CC,7,0,6,0,5697.709999999999,28381.0,9284.4,0.0,0.0,0.0,284655.84719999996,605087.5094999999
20,Nuclear,2,0,0,0,6816.709999999998,28381.0,9284.4,0.0,0.0,0.0,154368.25529999996,605087.5094999999
20,CR,0,0,0,0,0.0,28381.0,9284.4,0.0,0.0,0.0,0.0,605087.5094999999
20,Biomasa,3,0,0,0,6582.180000000001,28381.0,9284.4,0.0,0.0,0.0,166063.407,605087.5094999999
21,CC,9,0,2,0,10716.109999999999,28474.0,3727.9,0.0,0.0,0.0,460366.55519999994,795988.5436999999
21,Nuclear,2,0,0,0,7000.0,28474.0,3727.9,0.0,0.0,0.0,158296.16,795988.5436999999
21,CR,0,0,0,0,0.0,28474.0,3727.9,0.0,0.0,0.0,0.0,795988.5436999999
21,Biomasa,3,0,0,0,7029.99,28474.0,3727.9,0.0,0.0,0.0,177325.82849999997,795988.5436999999
22,CC,9,0,0,0,11351.410000000003,28216.0,2834.6,0.0,0.0,0.0,470617.15120000014,806239.1397
22,Nuclear,2,0,0,0,7000.0,28216.0,2834.6,0.0,0.0,0.0,158296.16,806239.1397
22,CR,0,0,0,0,0.0,28216.0,2834.6,0.0,0.0,0.0,0.0,806239.1397
22,Biomasa,3,0,0,0,7029.99,28216.0,2834.6,0.0,0.0,0.0,177325.82849999997,806239.1397
23,CC,8,0,0,1,9733.210000000001,26611.0,2847.8,0.0,0.0,0.0,403577.9172,739199.9057
23,Nuclear,2,0,0,0,7000.0,26611.0,2847.8,0.0,0.0,0.0,158296.16,739199.9057
23,CR,0,0,0,0,0.0,26611.0,2847.8,0.0,0.0,0.0,0.0,739199.9057
23,Biomasa,3,0,0,0,7029.99,26611.0,2847.8,0.0,0.0,0.0,177325.82849999997,739199.9057
24,CC,5,0,0,3,7617.210000000001,24562.0,2914.8,0.0,0.0,0.0,315619.1672,651241.1557
24,Nuclear,2,0,0,0,7000.0,24562.0,2914.8,0.0,0.0,0.0,158296.16,651241.1557
24,CR,0,0,0,0,0.0,24562.0,2914.8,0.0,0.0,0.0,0.0,651241.1557
24,Biomasa,3,0,0,0,7029.99,24562.0,2914.8,0.0,0.0,0.0,177325.82849999997,651241.1557
