hour,tech,Ng_on,Nst_cmd,Nsg_start,Nsd_stop,Pg_MW,PD_MW,PRES_avail_MW,Pcurt_MW,Ddef_MW,Dspill_MW,cost_tech_EUR,cost_hour_total_EUR
1,CC,5,5,5,0,9489.999999999996,23927.0,4533.3,0.0,0.0,0.0,433002.84999999986,799966.4786000001
1,Nuclear,2,2,2,0,7000.0,23927.0,4533.3,0.0,0.0,0.0,278296.16000000003,799966.4786000001
1,CR,2,2,2,0,560.3700000000063,23927.0,4533.3,0.0,0.0,0.0,28558.859100000267,799966.4786000001
1,Biomasa,1,1,1,0,2343.33,23927.0,4533.3,0.0,0.0,0.0,60108.6095,799966.4786000001
2,CC,5,0,0,0,8974.769999999999,22632.0,4039.9,0.0,0.0,0.0,371713.54639999993,601526.4959
2,Nuclear,2,0,0,0,7000.0,22632.0,4039.9,0.0,0.0,0.0,158296.16,601526.4959
2,CR,2,0,0,0,274.0,22632.0,4039.9,0.0,0.0,0.0,12408.18,601526.4959
2,Biomasa,1,0,0,0,2343.33,22632.0,4039.9,0.0,0.0,0.0,59108.6095,601526.4959
3,CC,5,0,0,0,6776.239999999996,21843.0,3688.1,0.0,0.0,0.0,280870.2867999998,565671.6257999999
3,Nuclear,2,0,0,0,7000.0,21843.0,3688.1,0.0,0.0,0.0,158296.16,565671.6257999999
3,CR,4,0,2,0,548.0,21843.0,3688.1,0.0,0.0,0.0,28816.36,565671.6257999999
3,Biomasa,2,1,1,0,3830.6600000000053,21843.0,3688.1,0.0,0.0,0.0,97688.81900000013,565671.6257999999
4,CC,10,0,5,0,7592.0,21689.0,3486.3,0.0,0.0,0.0,355453.54,611167.605
4,Nuclear,2,0,0,0,6800.0,21689.0,3486.3,0.0,0.0,0.0,154010.16,611167.605
4,CR,2,0,0,2,274.0,21689.0,3486.3,0.0,0.0,0.0,12408.18,611167.605
4,Biomasa,2,0,0,0,3536.7,21689.0,3486.3,0.0,0.0,0.0,89295.72499999999,611167.605
5,CC,5,0,0,5,5797.469999999995,21694.0,3048.5,0.0,0.0,0.0,240427.51039999977,552840.2848999999
5,Nuclear,2,0,0,0,7000.0,21694.0,3048.5,0.0,0.0,0.0,158296.16,552840.2848999999
5,CR,2,0,0,0,274.0,21694.0,3048.5,0.0,0.0,0.0,12408.18,552840.2848999999
5,Biomasa,3,0,1,0,5574.030000000005,21694.0,3048.5,0.0,0.0,0.0,141708.43450000012,552840.2848999999
6,CC,5,0,0,0,5711.609999999999,22606.0,2727.4,0.0,0.0,0.0,236879.77519999995,578705.8537
6,Nuclear,2,0,0,0,7000.0,22606.0,2727.4,0.0,0.0,0.0,158296.16,578705.8537
6,CR,1,0,0,1,137.0,22606.0,2727.4,0.0,0.0,0.0,6204.09,578705.8537
